"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"207",375,148,"Herb Cover = 75%",255,100,28,1,0.392157,0.109804,33,0
"208",376,15054,"Herb Cover = 76%",255,100,28,1,0.392157,0.109804,3348,0.1
"209",377,13373,"Herb Cover = 77%",255,100,28,1,0.392157,0.109804,2974,0.1
"210",378,16270,"Herb Cover = 78%",255,94,25,1,0.368627,0.098039,3618,0.1
"211",379,10579,"Herb Cover = 79%",255,94,25,1,0.368627,0.098039,2353,0.1
"212",380,9625,"Herb Cover = 80%",255,93,23,1,0.364706,0.090196,2141,0.1
"213",382,9218,"Herb Cover = 82%",255,87,20,1,0.341176,0.078431,2050,0.1
"214",383,7061,"Herb Cover = 83%",255,87,20,1,0.341176,0.078431,1570,0
"215",384,5937,"Herb Cover = 84%",255,81,18,1,0.317647,0.070588,1320,0
"216",385,4915,"Herb Cover = 85%",255,81,18,1,0.317647,0.070588,1093,0
"217",386,9496,"Herb Cover = 86%",255,79,15,1,0.309804,0.058824,2112,0.1
"218",388,769,"Herb Cover = 88%",255,75,15,1,0.294118,0.058824,171,0
"219",389,641,"Herb Cover = 89%",255,73,13,1,0.286275,0.05098,143,0
"220",390,538,"Herb Cover = 90%",255,69,13,1,0.270588,0.05098,120,0
"221",391,512,"Herb Cover = 91%",255,67,10,1,0.262745,0.039216,114,0
"222",392,1946,"Herb Cover = 92%",255,67,10,1,0.262745,0.039216,433,0
